practice_code,practice_name
E528D,Grazing management for improving quantity and quality of food or cover and shelter for wildlife
E528E,Improved grazing management for enhanced plant structure and composition for wildlife
E528F,Stockpiling cool season forage to improve structure and composition or plant productivity and health
E528G,Improved grazing management on pasture for plant productivity and health with monitoring activities
E528H,Prescribed grazing to improve/maintain riparian and watershed function-elevated water temperature
E528I,Grazing management that protects sensitive areas -surface or ground water from nutrients
E528J,Prescribed grazing on pastureland that improves riparian and watershed function
E528L,Prescribed grazing that improves or maintains riparian and watershed function-erosion
E528M,Grazing management that protects sensitive areas from gully erosion
E528N,Improved grazing management through monitoring activities
E528Q,Use of body condition scoring for livestock on a monthly basis to keep track of herd health
E528R,Management Intensive Rotational Grazing
E533A,Advanced Pumping Plant Automation
E533B,Complete pumping plant evaluation for energy savings
E550A,Range planting for increasing/maintaining organic matter
E550B,"Range planting for improving forage, browse, or cover for wildlife"
E590A,Improving nutrient uptake efficiency and reducing risk of nutrient losses
E595B,Reduce risk of pesticides in water and air by utilizing IPM PAMS techniques
E595E,Eliminate use of chemical treatments to control pests and to increase the presence of dung beetles
E612B,Planting for high carbon sequestration rate
E612C,Establishing tree/shrub species to restore native plant communities
E612D,Adding food-producing trees and shrubs to existing plantings
E612E,Cultural plantings
E612G,Tree/shrub planting for wildlife food
E666D,Forest management to enhance understory vegetation
E666E,Reduce height of the forest understory to limit wildfire risk
E666F,Reduce forest stand density to create open stand structure
E666G,Reduce forest density and manage understory along roads to limit wildfire risk and improve habitat
E666H,Increase on-site carbon storage
E666I,Crop tree management for mast production
E666J,Facilitating oak forest regeneration
E666K,Creating structural diversity with patch openings
E666M,Maintaining structural diversity in dry Western forests
E666N,Creating structural diversity in dry Western forests
E666O,"Snags, den trees, and coarse woody debris for wildlife habitat"
MINPAY,Minimum Payment Adjustment
